id|points
E14000852|[[2.219512403724827, 66.95038766201863], [2.308513242115474, 67.10453941693993], [2.486509331097852, 67.10453941693993], [2.5755076623529174, 66.95038766201863], [2.486509331097852, 66.79623585793802], [2.308513242115474, 66.79623585793802], [2.219512403724827, 66.95038766201863]]
E14000619|[[1.9169172810733761, 67.12838620897713], [2.005915841739527, 67.28253812776336], [2.18391191433541, 67.28253812776336], [2.2729147846529143, 67.12838620897713], [2.18391191433541, 66.97423579774932], [2.005915841739527, 66.97423579774932], [1.9169172810733761, 67.12838620897713]]
E14000948|[[1.9169172810733761, 66.77238932808493], [2.005915841739527, 66.92653985401776], [2.18391191433541, 66.92653985401776], [2.2729147846529143, 66.77238932808493], [2.18391191433541, 66.61823731097951], [2.005915841739527, 66.61823731097951], [1.9169172810733761, 66.77238932808493]]
E14000864|[[1.6143199462434743, 69.44236684422809], [1.7033175728787227, 69.59651741932052], [1.88131893831637, 69.59651741932052], [1.9703165157921076, 69.44236684422809], [1.88131893831637, 69.28821481073622], [1.7033175728787227, 69.28821481073622], [1.6143199462434743, 69.44236684422809]]
E14000717|[[1.6143199462434743, 69.08636847216376], [1.7033175728787227, 69.24051921112124], [1.88131893831637, 69.24051921112124], [1.9703165157921076, 69.08636847216376], [1.88131893831637, 68.93221665169641], [1.7033175728787227, 68.93221665169641], [1.6143199462434743, 69.08636847216376]]
E14000806|[[1.6143199462434743, 68.73037300051082], [1.7033175728787227, 68.88452508316225], [1.88131893831637, 68.88452508316225], [1.9703165157921076, 68.73037300051082], [1.88131893831637, 68.57622118004362], [1.7033175728787227, 68.57622118004362], [1.6143199462434743, 68.73037300051082]]
E14000957|[[1.6143199462434743, 68.37437489063058], [1.7033175728787227, 68.52852551488274], [1.88131893831637, 68.52852551488274], [1.9703165157921076, 68.37437489063058], [1.88131893831637, 68.22022302100393], [1.7033175728787227, 68.22022302100393], [1.6143199462434743, 68.37437489063058]]
E14000899|[[1.6143199462434743, 68.01837940259148], [1.7033175728787227, 68.17252874869617], [1.88131893831637, 68.17252874869617], [1.9703165157921076, 68.01837940259148], [1.88131893831637, 67.86422754935114], [1.7033175728787227, 67.86422754935114], [1.6143199462434743, 68.01837940259148]]
E14000536|[[1.6143199462434743, 67.30638582105846], [1.7033175728787227, 67.46053516716313], [1.88131893831637, 67.46053516716313], [1.9703165157921076, 67.30638582105846], [1.88131893831637, 67.15223406613714], [1.7033175728787227, 67.15223406613714], [1.6143199462434743, 67.30638582105846]]
E14000927|[[1.6143199462434743, 66.95038766201863], [1.7033175728787227, 67.10453941693993], [1.88131893831637, 67.10453941693993], [1.9703165157921076, 66.95038766201863], [1.88131893831637, 66.79623585793802], [1.7033175728787227, 66.79623585793802], [1.6143199462434743, 66.95038766201863]]
E14000670|[[1.6143199462434743, 66.59439235423103], [1.7033175728787227, 66.74854212638473], [1.88131893831637, 66.74854212638473], [1.9703165157921076, 66.59439235423103], [1.88131893831637, 66.44024036989865], [1.7033175728787227, 66.44024036989865], [1.6143199462434743, 66.59439235423103]]
E14000863|[[1.3117225458675275, 69.62036501429674], [1.4007209262821125, 69.77451504863467], [1.578720521976999, 69.77451504863467], [1.6677178536551445, 69.62036501429674], [1.578720521976999, 69.46621475054769], [1.4007209262821125, 69.46621475054769], [1.3117225458675275, 69.62036501429674]]
E14000941|[[1.3117225458675275, 69.26436690441649], [1.4007209262821125, 69.41851872488368], [1.578720521976999, 69.41851872488368], [1.6677178536551445, 69.26436690441649], [1.578720521976999, 69.11021654234843], [1.4007209262821125, 69.11021654234843], [1.3117225458675275, 69.26436690441649]]
E14001022|[[1.3117225458675275, 68.90837148192342], [1.4007209262821125, 69.06252061500331], [1.578720521976999, 69.06252061500331], [1.6677178536551445, 68.90837148192342], [1.578720521976999, 68.75421817028395], [1.4007209262821125, 68.75421817028395], [1.3117225458675275, 68.90837148192342]]
E14000888|[[1.3117225458675275, 68.5523733228836], [1.4007209262821125, 68.70652529082929], [1.578720521976999, 68.70652529082929], [1.6677178536551445, 68.5523733228836], [1.578720521976999, 68.39822145325667], [1.4007209262821125, 68.39822145325667], [1.3117225458675275, 68.5523733228836]]
