constituency,region,country,id,Conservative,Labour,UKIP,LibDem,SNP,Green,DUP,PC,SF,UUP,SDLP,Ind,Alliance,Other,last_winner,last_winner_pct,majority_pct
Aberavon,Wales,Wales,W07000049,11.87069759,48.90397488,15.76943819,4.431684802,0,2.255495987,0,11.62008692,0,0,0,3.606890207,0,1.541731434,Labour,48.90397488,33.13453669
Aberconwy,Wales,Wales,W07000058,41.50524081,28.24067932,11.49993366,4.613904737,0,2.411436911,0,11.72880456,0,0,0,0,0,0,Conservative,41.50524081,13.2645615
Aberdeen North,Scotland,Scotland,S14000001,12.07210488,25.94000364,0,4.66587764,56.42980699,0,0,0,0,0,0,0,0,0.892206846,SNP,56.42980699,30.48980335
Aberdeen South,Scotland,Scotland,S14000002,22.83578093,26.75743033,1.84754176,4.638421454,41.64898766,1.985540978,0,0,0,0,0,0.286296884,0,0,SNP,41.64898766,14.89155733
Aberdeenshire West & Kincardine,Scotland,Scotland,S14000058,28.83542286,4.505761287,1.82259584,21.40010146,41.57728821,1.603377056,0,0,0,0,0,0.255453294,0,0,SNP,41.57728821,12.74186535
Airdrie & Shotts,Scotland,Scotland,S14000003,7.652531274,34.11461862,2.456758343,1.530957865,53.93803911,0,0,0,0,0,0,0.307094793,0,0,SNP,53.93803911,19.82342049
Aldershot,South East,England,E14000530,50.59210669,18.33257561,17.86711697,8.824229828,0,4.383970903,0,0,0,0,0,0,0,0,Conservative,50.59210669,32.25953108
Aldridge-Brownhills,West Midlands,England,E14000531,52.04952275,22.3687875,19.62427526,3.367344355,0,2.091298073,0,0,0,0,0,0,0,0.498772059,Conservative,52.04952275,29.68073525
Altrincham & Sale West,North West,England,E14000532,52.99404161,26.68606608,8.011164558,8.383316507,0,3.925411248,0,0,0,0,0,0,0,0,Conservative,52.99404161,26.30797553
Alyn & Deeside,Wales,Wales,W07000043,31.94316697,40.03485501,17.57273563,4.194703974,0,2.362395314,0,3.892143099,0,0,0,0,0,0,Labour,40.03485501,8.091688048
Amber Valley,East Midlands,England,E14000533,43.97926373,34.78137236,15.88686922,2.97482337,0,2.377671326,0,0,0,0,0,0,0,0,Conservative,43.97926373,9.197891375
Angus,Scotland,Scotland,S14000004,28.99853883,8.809711139,3.045970552,2.733505676,54.24300326,2.169270541,0,0,0,0,0,0,0,0,SNP,54.24300326,25.24446443
Antrim East,Northern Ireland,Northern Ireland,N06000005,1.638952742,0,10.92635161,0,0,0,36.13159387,0,6.908081321,18.83153715,4.89297549,0,14.98940204,5.681105771,DUP,36.13159387,17.30005672
Antrim North,Northern Ireland,Northern Ireland,N06000012,0.878134918,0,3.19994273,0,0,0,43.20757869,0,12.27241272,12.0600377,6.979740855,0.136015463,5.610041282,15.65609564,DUP,43.20757869,27.55148305
Antrim South,Northern Ireland,Northern Ireland,N06000014,1.136270295,0,0,0,0,0,30.09884183,0,12.86586535,32.6972045,8.186622129,0,9.791090546,5.224105358,UUP,32.6972045,2.598362676
Arfon,Wales,Wales,W07000057,13.11994634,30.2641875,8.484554906,2.675410813,0,0,0,43.93188508,0,0,0,0,0,1.524015352,PC,43.93188508,13.66769758
Argyll & Bute,Scotland,Scotland,S14000005,14.9046894,10.39646898,2.526839234,27.92051346,44.25148893,0,0,0,0,0,0,0,0,0,SNP,44.25148893,16.33097546
Arundel & South Downs,South East,England,E14000534,60.78757724,11.19747862,14.43773572,7.192308373,0,6.384900048,0,0,0,0,0,0,0,0,Conservative,60.78757724,46.34984153
Ashfield,East Midlands,England,E14000535,22.41768441,41.02174693,21.40943703,14.82840811,0,0,0,0,0,0,0,0,0,0.322723534,Labour,41.02174693,18.60406252
Ashford,South East,England,E14000536,52.45415882,18.44105138,18.82102768,5.983755142,0,4.300006972,0,0,0,0,0,0,0,0,Conservative,52.45415882,33.63313114
Ashton Under Lyne,North West,England,E14000537,22.12343903,49.76103602,21.7585693,2.423043322,0,3.933912328,0,0,0,0,0,0,0,0,Labour,49.76103602,27.637597
Aylesbury,South East,England,E14000538,50.67395659,15.14101662,19.71345567,10.61910175,0,3.85246937,0,0,0,0,0,0,0,0,Conservative,50.67395659,30.96050091
"Ayr, Carrick & Cumnock",Scotland,Scotland,S14000006,19.83374514,27.25009098,2.451684575,1.637648681,48.82683062,0,0,0,0,0,0,0,0,0,SNP,48.82683062,21.57673964
Ayrshire Central,Scotland,Scotland,S14000010,17.33761374,26.41115532,0,1.806042463,53.17485327,1.270335211,0,0,0,0,0,0,0,0,SNP,53.17485327,26.76369796
Ayrshire North & Arran,Scotland,Scotland,S14000048,14.79143849,27.97156064,2.405836381,1.663294288,53.1678702,0,0,0,0,0,0,0,0,0,SNP,53.1678702,25.19630957
Banbury,South East,England,E14000539,53.00820576,21.29706247,13.87739622,5.930216522,0,4.630395807,0,0,0,0,0,0,0,1.256723211,Conservative,53.00820576,31.71114329
Banff & Buchan,Scotland,Scotland,S14000007,28.815008,5.801135243,0,5.143658638,60.24019812,0,0,0,0,0,0,0,0,0,SNP,60.24019812,31.42519012
Barking,London,England,E14000540,16.30770661,57.67988662,22.19743965,1.305731744,0,2.084059385,0,0,0,0,0,0,0,0.425175995,Labour,57.67988662,35.48244697
Barnsley Central,Yorkshire and The Humber,England,E14000541,15.00273523,55.73304158,21.72045952,2.106126915,0,2.565645514,0,0,0,0,0,0,0,2.871991247,Labour,55.73304158,34.01258206
Barnsley East,Yorkshire and The Humber,England,E14000542,14.59615235,54.72648441,23.48313732,3.159643794,0,0,0,0,0,0,0,0,0,4.034582133,Labour,54.72648441,31.24334709
Barrow & Furness,North West,England,E14000543,40.49682265,42.33391103,11.71577123,2.701328712,0,2.451761987,0,0,0,0,0,0.300404391,0,0,Labour,42.33391103,1.837088388
Basildon & Billericay,East,England,E14000544,52.68197453,23.67295714,19.842893,3.802175328,0,0,0,0,0,0,0,0,0,0,Conservative,52.68197453,29.00901738
Basildon South & Thurrock East,East,England,E14000933,43.40139934,25.20781699,26.53258176,2.974140767,0,0,0,0,0,0,0,0.449630426,0,1.434430724,Conservative,43.40139934,16.86881758
Basingstoke,South East,England,E14000545,48.55113422,27.70743839,15.61911222,7.383751601,0,0,0,0,0,0,0,0.738563569,0,0,Conservative,48.55113422,20.84369583
Bassetlaw,East Midlands,England,E14000546,30.68027349,48.62139625,15.95690722,2.700399684,0,2.041023352,0,0,0,0,0,0,0,0,Labour,48.62139625,17.94112277
Bath,South West,England,E14000547,37.80821337,13.17870545,6.195009223,29.68176903,0,11.94479191,0,0,0,0,0,1.057943053,0,0.133567961,Conservative,37.80821337,8.126444336
Batley & Spen,Yorkshire and The Humber,England,E14000548,31.23873294,43.23778205,17.98767804,4.746528259,0,2.440618871,0,0,0,0,0,0,0,0.348659839,Labour,43.23778205,11.99904911
Battersea,London,England,E14000549,52.37992593,36.8246752,3.107914797,4.391448335,0,3.296035743,0,0,0,0,0,0,0,0,Conservative,52.37992593,15.55525073
Beaconsfield,South East,England,E14000550,63.24135207,11.42523936,13.75016459,7.386716325,0,4.19652766,0,0,0,0,0,0,0,0,Conservative,63.24135207,49.49118748
Beckenham,London,England,E14000551,57.28131467,19.43323156,12.51562404,6.921705633,0,3.848124091,0,0,0,0,0,0,0,0,Conservative,57.28131467,37.84808311
Bedford,East,England,E14000552,42.58343098,40.20309855,9.62114308,4.248578744,0,3.063837174,0,0,0,0,0,0.27991147,0,0,Conservative,42.58343098,2.380332422
