id,constituency,region,country,last_winner,majority_15,winner,change
W07000049,Aberavon,Wales,Wales,Labour,33.13453669,Labour,Labour hold
W07000058,Aberconwy,Wales,Wales,Conservative,13.2645615,Conservative,Conservative hold
S14000001,Aberdeen North,Scotland,Scotland,SNP,30.48980335,SNP,SNP hold
S14000002,Aberdeen South,Scotland,Scotland,SNP,14.89155733,Conservative,Conservative gain from SNP
S14000058,Aberdeenshire West & Kincardine,Scotland,Scotland,SNP,12.74186535,Conservative,Conservative gain from SNP
S14000003,Airdrie & Shotts,Scotland,Scotland,SNP,19.82342049,SNP,SNP hold
E14000530,Aldershot,South East,England,Conservative,32.25953108,Conservative,Conservative hold
E14000531,Aldridge-Brownhills,West Midlands,England,Conservative,29.68073525,Conservative,Conservative hold
E14000532,Altrincham & Sale West,North West,England,Conservative,26.30797553,Conservative,Conservative hold
W07000043,Alyn & Deeside,Wales,Wales,Labour,8.091688048,Labour,Labour hold
E14000533,Amber Valley,East Midlands,England,Conservative,9.197891375,Conservative,Conservative hold
S14000004,Angus,Scotland,Scotland,SNP,25.24446443,Conservative,Conservative gain from SNP
N06000005,Antrim East,Northern Ireland,Northern Ireland,DUP,17.30005672,DUP,DUP hold
N06000012,Antrim North,Northern Ireland,Northern Ireland,DUP,27.55148305,DUP,DUP hold
N06000014,Antrim South,Northern Ireland,Northern Ireland,UUP,2.598362676,DUP,DUP gain from UUP
W07000057,Arfon,Wales,Wales,PC,13.66769758,PC,PC hold
S14000005,Argyll & Bute,Scotland,Scotland,SNP,16.33097546,SNP,SNP hold
E14000534,Arundel & South Downs,South East,England,Conservative,46.34984153,Conservative,Conservative hold
E14000535,Ashfield,East Midlands,England,Labour,18.60406252,Labour,Labour hold
E14000536,Ashford,South East,England,Conservative,33.63313114,,
E14000537,Ashton Under Lyne,North West,England,Labour,27.637597,Labour,Labour hold
E14000538,Aylesbury,South East,England,Conservative,30.96050091,Conservative,Conservative hold
S14000006,"Ayr, Carrick & Cumnock",Scotland,Scotland,SNP,21.57673964,Conservative,Conservative gain from SNP
S14000010,Ayrshire Central,Scotland,Scotland,SNP,26.76369796,SNP,SNP hold
S14000048,Ayrshire North & Arran,Scotland,Scotland,SNP,25.19630957,SNP,SNP hold
E14000539,Banbury,South East,England,Conservative,31.71114329,Conservative,Conservative hold
